total_syn,req_size,req_type,topo_size,increment_type
0.7854522,2,simple,small,FALSE
0.5178445,2,simple,small,TRUE
0.5507307,2,order,small,FALSE
0.5369198,2,order,small,TRUE
1.0064715,4,simple,small,FALSE
0.9886291,4,simple,small,TRUE
1.0746235,4,order,small,FALSE
1.0846681,4,order,small,TRUE
1.9984294,8,simple,small,FALSE
1.9387918,8,simple,small,TRUE
2.199201,8,order,small,FALSE
2.1816771,8,order,small,TRUE
4.0212042,16,simple,small,FALSE
3.9191979,16,simple,small,TRUE
4.3900555,16,order,small,FALSE
4.3867196,16,order,small,TRUE
0.490085,2,simple,small,FALSE
0.4851586,2,simple,small,TRUE
0.5745185,2,order,small,FALSE
0.5705824,2,order,small,TRUE
1.0658696,4,simple,small,FALSE
1.0221626,4,simple,small,TRUE
1.2070951,4,order,small,FALSE
1.1616244,4,order,small,TRUE
2.059654,8,simple,small,FALSE
1.9934738,8,simple,small,TRUE
2.3402723,8,order,small,FALSE
2.2729026,8,order,small,TRUE
4.0555777,16,simple,small,FALSE
3.890288,16,simple,small,TRUE
4.5321379,16,order,small,FALSE
4.3995258,16,order,small,TRUE
0.4489189,2,simple,small,FALSE
0.4326951,2,simple,small,TRUE
0.4869382,2,order,small,FALSE
0.4739767,2,order,small,TRUE
0.9303474,4,simple,small,FALSE
0.9328625,4,simple,small,TRUE
0.9766821,4,order,small,FALSE
0.9832962,4,order,small,TRUE
1.8682611,8,simple,small,FALSE
1.8618576,8,simple,small,TRUE
1.9318452,8,order,small,FALSE
1.8841011,8,order,small,TRUE
3.7671237,16,simple,small,FALSE
3.6755873,16,simple,small,TRUE
3.8781205,16,order,small,FALSE
4.4117748,16,order,small,TRUE
0.4414187,2,simple,small,FALSE
0.4281461,2,simple,small,TRUE
0.4767598,2,order,small,FALSE
0.4684527,2,order,small,TRUE
0.9005955,4,simple,small,FALSE
0.8876456,4,simple,small,TRUE
0.9439174,4,order,small,FALSE
0.9588334,4,order,small,TRUE
1.8461329,8,simple,small,FALSE
1.8329509,8,simple,small,TRUE
1.9088234,8,order,small,FALSE
1.8560282,8,order,small,TRUE
3.7629078,16,simple,small,FALSE
3.7221272,16,simple,small,TRUE
3.6901395,16,order,small,FALSE
3.6373255,16,order,small,TRUE
0.4888853,2,simple,small,FALSE
0.5032905,2,simple,small,TRUE
0.5238821,2,order,small,FALSE
0.9782523,4,simple,small,FALSE
0.9834698,4,simple,small,TRUE
1.0451723,4,order,small,FALSE
1.0342798,4,order,small,TRUE
1.9526696,8,simple,small,FALSE
1.9355079,8,simple,small,TRUE
2.0930609,8,order,small,FALSE
2.0688064,8,order,small,TRUE
3.861118,16,simple,small,FALSE
3.841505,16,simple,small,TRUE
4.6807299,16,order,small,FALSE
4.0329556,16,order,small,TRUE
0.9185883,2,simple,mid,FALSE
0.8598807,2,simple,mid,TRUE
1.0472055,2,order,mid,FALSE
1.011512,2,order,mid,TRUE
1.870469,4,simple,mid,FALSE
1.8673509,4,simple,mid,TRUE
2.0662527,4,order,mid,FALSE
2.026472,4,order,mid,TRUE
3.6994364,8,simple,mid,FALSE
3.6827836,8,simple,mid,TRUE
8.6349755,8,order,mid,FALSE
6.9240222,8,order,mid,TRUE
7.3805832,16,simple,mid,FALSE
7.1263462,16,simple,mid,TRUE
8.1948393,16,order,mid,FALSE
11.6893835,16,order,mid,TRUE
0.8808109,2,simple,mid,FALSE
0.8975077,2,simple,mid,TRUE
0.9665818,2,order,mid,FALSE
0.9474393,2,order,mid,TRUE
1.8300027,4,simple,mid,FALSE
1.8129898,4,simple,mid,TRUE
1.9267906,4,order,mid,FALSE
1.9009694,4,order,mid,TRUE
3.5253468,8,simple,mid,FALSE
3.4659443,8,simple,mid,TRUE
3.8965641,8,order,mid,TRUE
6.8518416,16,simple,mid,FALSE
6.8087644,16,simple,mid,TRUE
12.7548957,16,order,mid,FALSE
7.6009621,16,order,mid,TRUE
0.9306712,2,simple,mid,FALSE
0.9105711,2,simple,mid,TRUE
0.9237147,2,order,mid,FALSE
0.898008,2,order,mid,TRUE
1.7991328,4,simple,mid,FALSE
1.8214743,4,simple,mid,TRUE
1.897865,4,order,mid,FALSE
1.8915768,4,order,mid,TRUE
3.6347273,8,simple,mid,FALSE
3.5395097,8,simple,mid,TRUE
3.7004379,8,order,mid,FALSE
3.6475463,8,order,mid,TRUE
6.9012762,16,simple,mid,FALSE
6.812796,16,simple,mid,TRUE
7.3502299,16,order,mid,FALSE
7.2928021,16,order,mid,TRUE
0.8852748,2,simple,mid,FALSE
0.8482747,2,simple,mid,TRUE
1.4946724,2,order,mid,FALSE
0.9546457,2,order,mid,TRUE
1.6932155,4,simple,mid,FALSE
1.6909891,4,simple,mid,TRUE
1.9078249,4,order,mid,FALSE
1.8610249,4,order,mid,TRUE
3.4988636,8,simple,mid,FALSE
3.4397883,8,simple,mid,TRUE
3.8142374,8,order,mid,FALSE
4.7375884,8,order,mid,TRUE
7.0304155,16,simple,mid,FALSE
6.9944775,16,simple,mid,TRUE
9.0777988,16,order,mid,FALSE
7.5006532,16,order,mid,TRUE
0.8888544,2,simple,mid,FALSE
0.8290229,2,simple,mid,TRUE
1.1848546,2,order,mid,FALSE
1.177983,2,order,mid,TRUE
1.8342434,4,simple,mid,FALSE
1.7965005,4,simple,mid,TRUE
3.2118094,4,order,mid,FALSE
2.288859,4,order,mid,TRUE
3.3810601,8,simple,mid,FALSE
3.353327,8,simple,mid,TRUE
4.6242071,8,order,mid,FALSE
4.6045782,8,order,mid,TRUE
7.6946323,16,simple,mid,FALSE
7.4671265,16,simple,mid,TRUE
11.4419747,16,order,mid,FALSE
11.2602913,16,order,mid,TRUE
2.2353027,2,simple,large,FALSE
2.1584304,2,simple,large,TRUE
6.5906403,2,order,large,FALSE
3.7361939,2,order,large,TRUE
5.3271694,4,simple,large,FALSE
5.276791,4,simple,large,TRUE
11.519295,4,order,large,FALSE
11.1857742,4,order,large,TRUE
10.1221122,8,simple,large,FALSE
10.1941035,8,simple,large,TRUE
15.3588727,8,order,large,FALSE
15.3172632,8,order,large,TRUE
19.1172687,16,simple,large,FALSE
18.8035925,16,simple,large,TRUE
44.2536647,16,order,large,FALSE
30.5105188,16,order,large,TRUE
1.9712975,2,simple,large,FALSE
1.9185134,2,simple,large,TRUE
4.1434935,2,order,large,FALSE
2.6694131,2,order,large,TRUE
3.9893398,4,simple,large,FALSE
4.0447236,4,simple,large,TRUE
5.4388359,4,order,large,FALSE
5.2614412,4,order,large,TRUE
8.3313362,8,simple,large,FALSE
8.2687629,8,simple,large,TRUE
10.6875863,8,order,large,FALSE
10.6426789,8,order,large,TRUE
16.2387207,16,simple,large,FALSE
16.1219161,16,simple,large,TRUE
35.6010186,16,order,large,FALSE
28.1356082,16,order,large,TRUE
1.8218511,2,simple,large,FALSE
1.6858483,2,simple,large,TRUE
2.897667,2,order,large,FALSE
2.8750786,2,order,large,TRUE
3.3185643,4,simple,large,FALSE
3.1503446,4,simple,large,TRUE
13.2443626,4,order,large,FALSE
12.9680046,4,order,large,TRUE
6.8071075,8,simple,large,FALSE
6.6134214,8,simple,large,TRUE
11.5026255,8,order,large,FALSE
11.4198036,8,order,large,TRUE
15.9858239,16,simple,large,FALSE
15.2249281,16,simple,large,TRUE
41.2822418,16,order,large,FALSE
38.9884971,16,order,large,TRUE
1.7173919,2,simple,large,FALSE
1.6688299,2,simple,large,TRUE
2.7288734,2,order,large,FALSE
2.7222577,2,order,large,TRUE
3.8446056,4,simple,large,FALSE
3.807527,4,simple,large,TRUE
5.4814395,4,order,large,FALSE
5.5177623,4,order,large,TRUE
7.5175811,8,simple,large,FALSE
7.4377539,8,simple,large,TRUE
15.4368143,8,order,large,FALSE
10.9975316,8,order,large,TRUE
14.0291998,16,simple,large,FALSE
13.580155,16,simple,large,TRUE
29.3883797,16,order,large,FALSE
36.4626637,16,order,large,TRUE
0.5181298,2,simple,small,FALSE
0.5091442,2,simple,small,TRUE
0.5454336,2,order,small,FALSE
0.5342169,2,order,small,TRUE
1.0217749,4,simple,small,FALSE
0.9681331,4,simple,small,TRUE
1.080752,4,order,small,FALSE
1.0427901,4,order,small,TRUE
1.9994214,8,simple,small,FALSE
1.9407981,8,simple,small,TRUE
2.1750637,8,order,small,FALSE
2.1328345,8,order,small,TRUE
4.0156671,16,simple,small,FALSE
3.9795758,16,simple,small,TRUE
4.4037334,16,order,small,FALSE
4.3492744,16,order,small,TRUE
0.4999333,2,simple,small,FALSE
0.5004755,2,simple,small,TRUE
0.5535446,2,order,small,FALSE
0.5655253,2,order,small,TRUE
1.0420942,4,simple,small,FALSE
0.9751909,4,simple,small,TRUE
1.1691151,4,order,small,FALSE
1.1331862,4,order,small,TRUE
2.0516484,8,simple,small,FALSE
1.9944619,8,simple,small,TRUE
2.3114676,8,order,small,FALSE
2.240062,8,order,small,TRUE
4.024436,16,simple,small,FALSE
3.9070335,16,simple,small,TRUE
4.5678469,16,order,small,FALSE
4.4710123,16,order,small,TRUE
0.4509709,2,simple,small,FALSE
0.4528633,2,simple,small,TRUE
0.4834434,2,order,small,FALSE
0.4728817,2,order,small,TRUE
0.956781,4,simple,small,FALSE
0.9443972,4,simple,small,TRUE
1.0148563,4,order,small,FALSE
0.9826983,4,order,small,TRUE
1.8666086,8,simple,small,FALSE
1.8368768,8,simple,small,TRUE
1.9596131,8,order,small,FALSE
1.9020581,8,order,small,TRUE
3.753764,16,simple,small,FALSE
3.6930296,16,simple,small,TRUE
3.8419201,16,order,small,FALSE
3.7997558,16,order,small,TRUE
0.4356863,2,simple,small,FALSE
0.4295274,2,simple,small,TRUE
0.4674192,2,order,small,FALSE
0.4730856,2,order,small,TRUE
0.8836908,4,simple,small,FALSE
0.8933382,4,simple,small,TRUE
0.9540317,4,order,small,FALSE
0.9367629,4,order,small,TRUE
1.9232912,8,simple,small,FALSE
1.8472461,8,simple,small,TRUE
1.8715547,8,order,small,FALSE
1.8562553,8,order,small,TRUE
3.7898785,16,simple,small,FALSE
